Name,Rating,Reviews,Category,Address,Phone,Website,PlusCode
"West Town Towing","","(458)","Towing service","1514 Saginaw St, Flint, MI 48503","(810) 237-1100","westtowntow.com","2848+WX Flint, Michigan"
"Wright's Choice Towing and Recovery","","(113)","Towing service","4456 Field St, Detroit, MI 48214","(313) 629-0500","wrightschoicetowing.com","9XCM+7R Detroit, Michigan"
"Allendale Towing and Wrecker Services","","(86)","Towing service","5245 Lake Michigan Dr, Allendale, MI 49401","(616) 895-6229","allendaletowingandwreckerservice.com","X3FM+6V Allendale, Michigan"
"Taker Towing","","(42)","Towing service","240 E Wilson Ave, Pontiac, MI 48341","(248) 745-7499","","JPFC+MG Pontiac, Michigan"
"1st Class Towing","","(386)","Towing service","4585 Grand Haven Rd, Norton Shores, MI 49441","(231) 767-1181","1stclasstowingmi.com","5Q9H+MP Norton Shores, Michigan"
"Troy's Towing","","(943)","Towing service","9615 Grinnell Ave, Detroit, MI 48213","(313) 579-1869","troystowing.net","CX2R+RQ Detroit, Michigan"
"Northern Michigan Towing & Roadside Rescue","","(36)","Towing service","7702 Puttygut Rd, Casco, MI 48064","(586) 318-8054","northernmichigantowingroadsiderescue.com","Q9PH+4F Casco, Michigan"
"Anytime Towing","","(207)","Towing service","3055 Cass Rd #205, Traverse City, MI 49684","(231) 929-8990","anytimetowing.com","P9JF+F6 Traverse City, Michigan"
"Jerry's Towing & Recovery, Inc.","","(645)","Towing service","1381 S Evergreen Dr, White Cloud, MI 49349","(231) 652-1721","jerrystowingmi.com","G6HH+Q2 White Cloud, Michigan"
"Mid State Towing","","(146)","Towing service","106 W Isabella Rd, Midland, MI 48640","(989) 633-8697","midstatetowingmi.com","JJ7G+6M Midland, Michigan"
"Boulevard & Trumbull Towing - Cars & Heavy Duty Semi Wrecker","","(348)","Towing service","2411 Vinewood St, Detroit, MI 48216","(800) 841-7841","boulevardtrumbulltow.com","8WG4+G8 Detroit, Michigan"
"Grand Rapids Towing","","(7,832)","Towing service","1946 Will Ave NW, Grand Rapids, MI 49504","(616) 538-0698","grtowing.com","X8X9+HR Grand Rapids, Michigan"
"Discount Towing of Midland","","(66)","Towing service","60 5 Mile Rd, Midland, MI 48642","(989) 773-6999","","JM92+FF Midland, Michigan"
"Merl's Towing Service","","(7,556)","Towing service","5510 Clay Ave SW, Grand Rapids, MI 49548","(616) 538-1320","towwestmichigan.com","V87F+QW Grand Rapids, Michigan"
"Official Towing","","(281)","Towing service","19801 Pleasant St, St Clair Shores, MI 48080","(586) 771-6840","official-towing.com","F3CM+MF St Clair Shores, Michigan"
"A&M Towing Service & Recovery","","(177)","Towing service","2075 Austin Dr, Troy, MI 48083","(248) 588-3640","amservicecentertowing.com","HV3M+WQ Troy, Michigan"
"Best Towing","","(230)","Towing service","3689 Fashion Square Blvd #2, Saginaw, MI 48603","(989) 399-0385","besttowingmi.com","F26H+6J Saginaw, Michigan"
"Corey's Big Dog Towing and Recovery","","(321)","Towing service","13035 Honor Hwy, Beulah, MI 49617","(231) 383-0221","","M25G+W3 Beulah, Michigan"
"American Towing, Inc.","","(84)","Towing service","15890 Old U.S. 27, Lansing, MI 48906","(517) 482-1959","lansingautotowing.com","QFP4+8M Lansing, Michigan"
"Gateway towing","","(233)","Towing service","18911 Grand River Ave, Detroit, MI 48223","(313) 663-2325","","CQ3F+H6 Detroit, Michigan"
"Greater Towing & Recovery Tow Truck - Plymouth","","(93)","Towing service","10478 N Territorial Rd #101, Plymouth, MI 48170","(734) 891-1818","greatertowingrecovery.com","9CCR+XX Plymouth, Michigan"
"Discount Towing","","(80)","Towing service","509 Industrial Ave, Mt Pleasant, MI 48858","(989) 773-6999","","J6CH+29 Mt Pleasant, Michigan"
"United Towing","","(371)","Towing service","22096 Michigan Ave, Dearborn, MI 48126","(313) 995-1855","","8Q43+GJ Dearborn, Michigan"
"Budget Towing","","(296)","Towing service","876 Railroad St, Ypsilanti, MI 48197","(734) 485-2055","budget-stadiumtowing.com","793J+JG Ypsilanti, Michigan"
"Tim's Towing Inc","","(285)","Towing service","12937 Riley St, Holland, MI 49424","(616) 738-2200","timstowing.net","RVGX+RC Holland, Michigan"
"Twisted Metal Towing LLC","","(50)","Towing service","1125 Elm St, Greenville, MI 48838","(616) 329-5423","","5Q93+97 Greenville, Michigan"
"Northside Service Inc","","(546)","Towing service","226 Russell St, Lansing, MI 48906","(517) 487-5921","northsidetowing.net","QC4V+2W Lansing, Michigan"
"Lakeside Towing","","(259)","Towing service","4355 Plant Dr, Commerce Township, MI 48390","(248) 363-8356","lakesidetowingmi.com","HHF5+44 Wolverine Lake, Michigan"
"ASAP 24 Hour Towing","","(67)","Towing service","825 E Superior St suite b, Alma, MI 48801","(989) 463-5208","asapsalesandservice.com","99H2+J9 Alma, Michigan"
"Lansing Towing & Recovery","","(120)","Towing service","","(517) 272-9717","",""
"Kreager Towing","","(370)","Towing service","2993 Carrollton Rd, Saginaw, MI 48604","(989) 272-4545","kreagertowing.com","C3X6+F2 Saginaw, Michigan"
"Henderson Towing & Auto Repair","","(413)","Towing service","7765 Eight Mile W, Detroit, MI 48221","(313) 837-7777","hendersontow.com","CRWX+6Q Detroit, Michigan"
"Bob's Towing & Recovery, Inc","","(315)","Towing service","906 S Euclid Ave, Bay City, MI 48706","(989) 892-1139","towingbaycity.com","H3RM+QC Bay City, Michigan"
"Porter's Towing","","(318)","Towing service","18759 Krause St, Riverview, MI 48193","(734) 282-8361","porters-towing.com","5RCG+PM Riverview, Michigan"
"Currie's Towing","","(166)","Towing service","620 Maple St, Big Rapids, MI 49307","(231) 796-5351","curriestowing.com","MGXG+R9 Big Rapids, Michigan"
"Safety First Wrecker Service","","(200)","Towing service","5811 S Greenville Rd, Greenville, MI 48838","(989) 427-4300","safetyfirstwrecker.com","6P6X+42 Greenville, Michigan"
"Statewide Towing And Recovery","","(87)","Towing service","1532 Jewett Ave, Ann Arbor, MI 48104","(734) 649-2582","statewidetowingrecovery.com","773F+PG Ann Arbor, Michigan"
"Reed & Hoppes Towing Inc.","","(124)","Towing service","2661 E Grand River Ave, Portland, MI 48875","(517) 647-4441","reedandhoppes.com","VXPH+F9 Portland, Michigan"
"Abrahamson's Towing","","(151)","Towing service","3311 S Brye Rd, Ludington, MI 49431","(231) 843-2990","abrahamsonstowing.com","VJWC+J8 Ludington, Michigan"
"Grand Valley Towing","","(967)","Towing service","3533 Viaduct St SW Ste A, Grandville, MI 49418","(616) 608-7790","gvtowingservice.com","W68W+3W Grandville, Michigan"
"Ellis Brothers Towing & Repair","","(246)","Towing service","21707 Mac Arthur Blvd, Warren, MI 48089","(586) 758-7792","ellisbrotherstowingandrepair.com","FX4J+CH Warren, Michigan"
"LKM Towing","","(46)","Towing service","1830 -M40, #20, Holland, MI 49423","(616) 392-7888","wmitrucks.com","PWPM+PV Holland, Michigan"
"L.I.J.B.S. Towing","","(237)","Towing service","6380 Marcus St, Detroit, MI 48211","(800) 339-9899","lijbstowing.com","9XW7+8R Detroit, Michigan"
"Quality Towing Services","","(38)","Towing service","10532 N Mission Rd Ste. A, Clare, MI 48617","(989) 802-0800","qualitytowingservices.com","Q6VM+F8 Clare, Michigan"
"Kreager Towing","","(114)","Towing service","915 Bayliss St, Midland, MI 48640","(989) 835-4357","kreagertowing.com","JQ5G+PR Midland, Michigan"
"USA Towing And Recovery LLC","","(38)","Towing service","16268 Donald Rd, Capac, MI 48014","(586) 531-0384","","X2XC+3H Capac, Michigan"
"Premier Towing and Recovery","","(93)","Towing service","13889 West St, Cedar Springs, MI 49319","(616) 696-9800","premiertowingmi.com","6C9Q+5F Cedar Springs, Michigan"
"J & K Roadside Assistance LLC","","(165)","Towing service","1177 O E Bieri Industrial Dr, Lowell, MI 49331","(616) 690-0983","jandkroadsideservice.com","WJVX+M7 Lowell, Michigan"
"Phil's Towing","","(1,102)","Towing service","6405 W M-72 Hwy, Grayling, MI 49738","(989) 348-8787","philstowingandautomotive.com","M737+WP Grayling, Michigan"
"Auto Solutions Towing","","(80)","Towing service","4255 N Clare Ave, Harrison, MI 48625","(989) 339-5559","joesautosolutions.com","352R+89 Harrison, Michigan"
"Ryan's Towing","","(191)","Towing service","10849 Northland Dr NE, Rockford, MI 49341","(616) 863-6062","ryanstowing.com","5C6X+QG Rockford, Michigan"
"Javion & Sams 24 Hour Towing","","(52)","Towing service","2416 Hubbard St, Detroit, MI 48216","(313) 842-7600","","8WG4+79 Detroit, Michigan"
"D & N Garage, Inc","","(254)","Towing service","4929 M-76, Alger, MI 48610","(989) 345-2118","dntowing.com","5RVJ+6V Alger, Michigan"
"UNIVERSITY AUTO TOWING AND RECOVERY","","(32)","Towing service","939 Farmer St, Detroit, MI 48226","(313) 425-5086","","8XJ4+W6 Detroit, Michigan"
"Central Michigan Towing","","(32)","Towing service","8151 Rolling Dr, Lake, MI 48632","(989) 588-6180","tonster2255.wixsite.com","RX8Q+J6 Lake, Michigan"
"Lakeside Towing & Recovery","","(96)","Towing service","624 E Savidge St, Spring Lake, MI 49456","(616) 842-8940","lakesidetowingsl.com","3RG8+7C Spring Lake, Michigan"
"H&H Mobil Towing, Fuels & Service","","(528)","Towing service","1500 Haslett Rd, East Lansing, MI 48823","(517) 332-6335","hhmobil.com","PGWQ+M5 East Lansing, Michigan"
"Auburn Towing & Repair","","(2)","Towing service","108 S Auburn St, Auburn, MI 48611","(989) 686-4161","towingbaycity.com","JW3J+45 Auburn, Michigan"
"Omar's Towing","","(29)","Towing service","9060 Osmo St, Kaleva, MI 49645","(231) 651-0746","towingkaleva.com","9XCQ+9R Kaleva, Michigan"
"Poe's Towing Services","","(73)","Towing service","1069 S Main St, Adrian, MI 49221","(517) 263-3700","poestowing.com","VXJ4+XR Adrian, Michigan"
"Tri-City Towing Service LLC","","(122)","Towing service","431 N Griffin St Suite 2, Grand Haven, MI 49417","(616) 842-9610","","3Q8Q+FG Grand Haven, Michigan"
"Petoskey Towing","","(55)","Towing service","58 Bridge St, Petoskey, MI 49770","(231) 347-1803","","929P+FV Petoskey, Michigan"
"Captain Hooks Towing and Recovery","","(93)","Towing service","715 N Lafayette St, Greenville, MI 48838","(616) 754-4808","","5PQV+9W Greenville, Michigan"
"Cheboygan Towing","","(95)","Towing service","1371 Mackinaw Ave, Cheboygan, MI 49721","(231) 627-5227","cheboygantowingandrecovery.com","MG55+78 Cheboygan, Michigan"
"Detroit Towing Group","","(4)","Towing service","33414 Kelly Rd, Clinton Township, MI 48035","(586) 405-0613","detroittowinggroup.com","G3VC+68 Fraser, Michigan"
"Peterson's Towing","","(330)","Towing service","324 N Mitchell St, Cadillac, MI 49601","(231) 775-8681","petersonstow.com","7H3X+5H Cadillac, Michigan"
"Reliable Towing Services","","(138)","Towing service","1288 9th St, Muskegon, MI 49440","(231) 722-1309","facebook.com","6PHR+P7 Muskegon, Michigan"
"Statewide Towing and Auto Recovery","","(73)","Towing service","12907 Pleasanton Hwy, Bear Lake, MI 49614","(231) 233-4834","","CVHC+Q3 Bear Lake, Michigan"
"M57 Towing & Auto Repair","","(90)","Towing service","12458 Vienna Rd, Montrose, MI 48457","(810) 639-9999","facebook.com","53G9+JX Montrose, Michigan"
"GENERAL TOWING INC","","(252)","Towing service","2290 Auburn Rd, Auburn Hills, MI 48326","(248) 338-3700","generaltowinginc.com","JQM4+9H Auburn Hills, Michigan"
"AuSable Towing & Recovery","","(75)","Towing service","4365 M-72, Grayling, MI 49738","(989) 344-8698","ausabletowing.com","M843+9Q Grayling, Michigan"
"East Beltline Towing and Service, Inc.","","(398)","Towing service","5277 Plainfield Ave NE Suite 100, Grand Rapids, MI 49525","(616) 942-5210","eastbeltlinetowing.net","3C48+X3 Grand Rapids, Michigan"
"Tapper Towing LLC","","(77)","Towing service","125 W Michigan Ave, Paw Paw, MI 49079","(269) 415-0285","towtruckpawpawmi.com","6494+38 Paw Paw, Michigan"
"Nelson's Towing","","(19)","Towing service","6314 Blakely Dr NE, Rockford, MI 49341","(616) 866-0503","nelsonstowingrockford.com","3FH9+3Q Rockford, Michigan"
"I-96 Towing & Repair","","(109)","Towing service","7770 S State Rd, Portland, MI 48875","(616) 374-0123","i96towing.com","VWGF+2J Portland, Michigan"
"Newaygo Towing","","(75)","Towing service","8119 Mason Dr, Newaygo, MI 49337","(231) 652-9454","towingnewaygo.com","C55V+8V Newaygo, Michigan"
"Michigan Off Road Recovery","","(21)","Towing service","112 Fisher St, Bay City, MI 48706","(989) 279-0709","michiganoffroadrecovery.com","H3VV+X9 Bay City, Michigan"
"General Towing & Recovery LLC","","(158)","Towing service","6369 N Dort Hwy, Mt Morris, MI 48458","(810) 686-8200","","482F+9F Mt Morris, Michigan"
"T&J's Towing & Hauling LLC","","(45)","Towing service","10229 S Graham Rd, St Charles, MI 48655","(989) 239-6980","tandjtowingmi.com","7RGW+7Q St Charles, Michigan"
"Brewer's Towing","","(1,208)","Towing service","1763 Plymouth Rd, Ann Arbor, MI 48105","(734) 665-8888","brewerstowing.com","77XH+8X Ann Arbor, Michigan"
"Scoob's Towing, LLC","","(49)","Towing service","11421 Birch Dr, Lakeview, MI 48850","(616) 318-7842","facebook.com","FQ5P+PH Lakeview, Michigan"
"Price’s Towing & Auto salvage","","(44)","Towing service","2735 S Center Rd, Saginaw, MI 48609","(989) 792-3938","","9XMQ+7F Saginaw, Michigan"
"Price’s Towing & Auto salvage","","(44)","Towing service","2735 S Center Rd, Saginaw, MI 48609","(989) 792-3938","","9XMQ+7F Saginaw, Michigan"
"Berry's & Gillikin's Towing- North","","(21)","Towing service","5480 W River Dr NE, Comstock Park, MI 49321","(616) 363-9500","berrysgillikinstowing.com","3967+GM Comstock Park, Michigan"
"HD Towing LLC","","(23)","Towing service","3424 Pointer Rd, West Branch, MI 48661","(989) 345-0135","","6MMV+7F West Branch, Michigan"
"Pro Towing & Sales","","(21)","Towing service","7836 US-2, Rapid River, MI 49878","(906) 474-2220","2and41trailersales.com","W2GJ+M9 Rapid River, Michigan"
"Frontline Towing & Recovery","","(72)","Towing service","7880 Federal Rd, Howard City, MI 49329","(989) 287-2278","frontlinetow.com","CG5M+MH Howard City, Michigan"
"Nationwide Towing & Heavy Duty Semi Truck Wrecker","","(901)","Towing service","191 Hiscock St, Ann Arbor, MI 48103","(734) 492-5800","towmycarannarbor.com","77Q2+62 Ann Arbor, Michigan"
"Jeromes Towing & Heavy Duty Recovery","","(72)","Towing service","5157 US-23, Alpena, MI 49707","(989) 356-6708","","4HC3+XF Alpena, Michigan"
"Frontline Towing & Recovery","","(38)","Towing service","628 E Lake St, Stanton, MI 48888","(989) 287-2278","frontlinetow.com","7WRG+33 Stanton, Michigan"
"Lenny & Squiggy’s Towing","","(61)","Towing service","1021 Owen Mumaw Industrial Dr, Greenville, MI 48838","(616) 754-9450","","5PWJ+V9 Greenville, Michigan"
"Oceana Auto LLC","","(32)","Towing service","709 S Emily St, Ludington, MI 49431","(231) 843-6500","oceana-auto.com","WHX5+FP Ludington, Michigan"
"Big Rapids Towing","","(58)","Towing service","20833 18 Mile Rd, Big Rapids, MI 49307","(231) 796-2222","bigrapidstowing.net","PFHX+4H Big Rapids, Michigan"
"M&M Towing","","(157)","Towing service","850 E Emmett St, Battle Creek, MI 49014","(269) 753-0000","mandmtowing247.com","8VJ5+C3 Battle Creek, Michigan"
"Sunrise Side Towing","","(124)","Towing service","208 Saginaw St, Sterling, MI 48659","(989) 654-3333","sunrisesidetowing.com","2XMG+GR Sterling, Michigan"
"The Royal Oak Towing Company","","(6)","Towing service","303 E Harrison Ave, Royal Oak, MI 48067","(248) 720-6637","royaloaktowing.org","FVJ5+6C Royal Oak, Michigan"
"Gaylord Towing","","(23)","Towing service","501 N Center Ave, Gaylord, MI 49735","(989) 858-1695","","28JG+X8 Gaylord, Michigan"
"Michigan Truck Towing & Recovery","","(29)","Towing service","","(517) 936-8791","michigantrucktowingandrecovery.com",""
"Ramos Towing","","(294)","Towing service","2444 S Getty St, Muskegon, MI 49444","(231) 733-1597","ramosautobody.com","6Q5G+28 Muskegon, Michigan"
"Hill Top Towing","","(44)","Towing service","7275 W Remus Rd, Mt Pleasant, MI 48858","(989) 330-9358","","H2W4+8W Mt Pleasant, Michigan"
"Gene's Towing & Recovery","","(114)","Towing service","711 Stephenson Ave, Escanaba, MI 49829","(906) 786-0004","genestowingandrecovery.com","QW3H+P4 Escanaba, Michigan"
"Great Lakes Towing and Recovery","","(139)","Towing service","32984 Ford Rd, Westland, MI 48185","(734) 397-1529","","8JGM+3F Westland, Michigan"
