Business Name,Address,City,State,ZIP,Phone Number,Email,Website URL,Google Maps URL
"Allendale Towing and Wrecker Services","5245 Lake Michigan Dr, Allendale, MI 49401","Allendale","MI","49401","(616) 895-6229","","allendaletowingandwreckerservice.com","https://www.google.com/maps/place/Allendale+Towing+and+Wrecker+Services/data=!4m7!3m6!1s0x88199f6460b3eac1:0x9a7161975392f88c!8m2!3d42.973024!4d-85.9153177!16s%2Fg%2F11lg3lgb2_!19sChIJweqzYGSfGYgRjPiSU5dhcZo?authuser=0&hl=en&rclk=1"
"Taker Towing","240 E Wilson Ave, Pontiac, MI 48341","Pontiac","MI","48341","(248) 745-7499","","","https://www.google.com/maps/place/Taker+Towing/data=!4m7!3m6!1s0x8824bfc0e857987f:0x4c43e2ba3ec0b02d!8m2!3d42.6241988!4d-83.2786339!16s%2Fg%2F11qz8rl8yd!19sChIJf5hX6MC_JIgRLbDAPrriQ0w?authuser=0&hl=en&rclk=1"
"1st Class Towing","4585 Grand Haven Rd, Norton Shores, MI 49441","Norton Shores","MI","49441","(231) 767-1181","","1stclasstowingmi.com","https://www.google.com/maps/place/1st+Class+Towing/data=!4m7!3m6!1s0x88197b7c873d6705:0x70ba41c8e997edc5!8m2!3d43.1692481!4d-86.2206455!16s%2Fg%2F11bxfw22zk!19sChIJBWc9h3x7GYgRxe2X6chBunA?authuser=0&hl=en&rclk=1"
"Troy's Towing","9615 Grinnell Ave, Detroit, MI 48213","Detroit","MI","48213","(313) 579-1869","","troystowing.net","https://www.google.com/maps/place/Troy%27s+Towing/data=!4m7!3m6!1s0x8824d3eea3f302e5:0xcb4a8c5444c297dd!8m2!3d42.4020899!4d-83.0081198!16s%2Fg%2F1tg2f37f!19sChIJ5QLzo-7TJIgR3ZfCRFSMSss?authuser=0&hl=en&rclk=1"
"Northern Michigan Towing & Roadside Rescue","7702 Puttygut Rd, Casco, MI 48064","Casco","MI","48064","(586) 318-8054","","northernmichigantowingroadsiderescue.com","https://www.google.com/maps/place/Northern+Michigan+Towing+%26+Roadside+Rescue/data=!4m7!3m6!1s0xaf3df991bfb62cb5:0xf81ad081560ed0b5!8m2!3d42.7853008!4d-82.6212677!16s%2Fg%2F11l2xj1wtj!19sChIJtSy2v5H5Pa8RtdAOVoHQGvg?authuser=0&hl=en&rclk=1"
"Anytime Towing","3055 Cass Rd #205, Traverse City, MI 49684","Traverse City","MI","49684","(231) 929-8990","","anytimetowing.com","https://www.google.com/maps/place/Anytime+Towing/data=!4m7!3m6!1s0x881e3315a7d73c57:0xc3372dcd42fa218!8m2!3d44.7311994!4d-85.6269454!16s%2Fg%2F1ptxh67bm!19sChIJVzzXpxUzHogRGKIv1NxyMww?authuser=0&hl=en&rclk=1"
"Jerry's Towing & Recovery, Inc.","1381 S Evergreen Dr, White Cloud, MI 49349","White Cloud","MI","49349","(231) 652-1721","","jerrystowingmi.com","https://www.google.com/maps/place/Jerry%27s+Towing+%26+Recovery,+Inc./data=!4m7!3m6!1s0x88193ad22774b2b5:0x6b61a24222669745!8m2!3d43.5293846!4d-85.7723922!16s%2Fg%2F11b8zhl_8h!19sChIJtbJ0J9I6GYgRRZdmIkKiYWs?authuser=0&hl=en&rclk=1"
"Mid State Towing","106 W Isabella Rd, Midland, MI 48640","Midland","MI","48640","(989) 633-8697","","midstatetowingmi.com","https://www.google.com/maps/place/Mid+State+Towing/data=!4m7!3m6!1s0x8822297519678913:0xc51974dd2a30b9a1!8m2!3d43.6130902!4d-84.3732824!16s%2Fg%2F1ttphhtl!19sChIJE4lnGXUpIogRobkwKt10GcU?authuser=0&hl=en&rclk=1"
"Boulevard & Trumbull Towing - Cars & Heavy Duty Semi Wrecker","2411 Vinewood St, Detroit, MI 48216","Detroit","MI","48216","(800) 841-7841","","boulevardtrumbulltow.com","https://www.google.com/maps/place/Boulevard+%26+Trumbull+Towing+-+Cars+%26+Heavy+Duty+Semi+Wrecker/data=!4m7!3m6!1s0x883b32bc4749625b:0x4c98e81d338f7688!8m2!3d42.3263131!4d-83.094126!16s%2Fg%2F1vfn79wv!19sChIJW2JJR7wyO4gRiHaPMx3omEw?authuser=0&hl=en&rclk=1"
"Grand Rapids Towing","1946 Will Ave NW, Grand Rapids, MI 49504","Grand Rapids","MI","49504","(616) 538-0698","","grtowing.com","https://www.google.com/maps/place/Grand+Rapids+Towing/data=!4m7!3m6!1s0x88184b6b94f6e173:0x67d3dec34d4561fb!8m2!3d42.9988872!4d-85.680438!16s%2Fg%2F1tqtyh63!19sChIJc-H2lGtLGIgR-2FFTcPe02c?authuser=0&hl=en&rclk=1"
"Discount Towing of Midland","60 5 Mile Rd, Midland, MI 48642","Midland","MI","48642","(989) 773-6999","","","https://www.google.com/maps/place/Discount+Towing+of+Midland/data=!4m7!3m6!1s0x882181ebafa32229:0xb44ef073e8e8a1b!8m2!3d43.6186288!4d-84.3487942!16s%2Fg%2F11fll9x5z4!19sChIJKSKjr-uBIYgRG4qOPgfvRAs?authuser=0&hl=en&rclk=1"
"Merl's Towing Service","5510 Clay Ave SW, Grand Rapids, MI 49548","Grand Rapids","MI","49548","(616) 538-1320","","towwestmichigan.com","https://www.google.com/maps/place/Merl%27s+Towing+Service/data=!4m7!3m6!1s0x8819b3f9ed7d8979:0xcf7451d425f32bce!8m2!3d42.8644364!4d-85.6751994!16s%2Fg%2F1tf826c0!19sChIJeYl97fmzGYgRzivzJdRRdM8?authuser=0&hl=en&rclk=1"
"Official Towing","19801 Pleasant St, St Clair Shores, MI 48080","St Clair Shores","MI","48080","(586) 771-6840","","official-towing.com","https://www.google.com/maps/place/Official+Towing/data=!4m7!3m6!1s0x8824d7e7b368a32f:0x6e9479f46e3065f1!8m2!3d42.4716524!4d-82.916357!16s%2Fg%2F1v6p4xv4!19sChIJL6Nos-fXJIgR8WUwbvR5lG4?authuser=0&hl=en&rclk=1"
"A&M Towing Service & Recovery","2075 Austin Dr, Troy, MI 48083","Troy","MI","48083","(248) 588-3640","","amservicecentertowing.com","https://www.google.com/maps/place/A%26M+Towing+Service+%26+Recovery/data=!4m7!3m6!1s0x8824c44d3bc2c0c7:0x754c3ef98c235c82!8m2!3d42.5548577!4d-83.1155962!16s%2Fg%2F126235h29!19sChIJx8DCO03EJIgRglwjjPk-THU?authuser=0&hl=en&rclk=1"
"Best Towing","3689 Fashion Square Blvd #2, Saginaw, MI 48603","Saginaw","MI","48603","(989) 399-0385","","besttowingmi.com","https://www.google.com/maps/place/Best+Towing/data=!4m7!3m6!1s0x8823c2e0b1853c8f:0xdd72dfa6f0719315!8m2!3d43.4606208!4d-83.970993!16s%2Fg%2F1td2n2vt!19sChIJjzyFseDCI4gRFZNx8Kbfct0?authuser=0&hl=en&rclk=1"
"Corey's Big Dog Towing and Recovery","13035 Honor Hwy, Beulah, MI 49617","Beulah","MI","49617","(231) 383-0221","","","https://www.google.com/maps/place/Corey%27s+Big+Dog+Towing+and+Recovery/data=!4m7!3m6!1s0x881e6cdcbecd43d1:0x74bde199847173c4!8m2!3d44.6598641!4d-85.9748589!16s%2Fg%2F1q62mn96f!19sChIJ0UPNvtxsHogRxHNxhJnhvXQ?authuser=0&hl=en&rclk=1"
"American Towing, Inc.","15890 Old U.S. 27, Lansing, MI 48906","Lansing","MI","48906","(517) 482-1959","","lansingautotowing.com","https://www.google.com/maps/place/American+Towing,+Inc./data=!4m7!3m6!1s0x8822ebc75d910941:0x616eadf4d4e917b!8m2!3d42.785782!4d-84.5433063!16s%2Fg%2F11cfhkvgh!19sChIJQQmRXcfrIogRe5FOTd_qFgY?authuser=0&hl=en&rclk=1"
"Gateway towing","18911 Grand River Ave, Detroit, MI 48223","Detroit","MI","48223","(313) 663-2325","","","https://www.google.com/maps/place/Gateway+towing/data=!4m7!3m6!1s0x8824b50ff8ec995d:0x615941ba519c1d9!8m2!3d42.403956!4d-83.226992!16s%2Fg%2F11rk4l49pm!19sChIJXZns-A-1JIgR2cEZpRuUFQY?authuser=0&hl=en&rclk=1"
"Greater Towing & Recovery Tow Truck - Plymouth","10478 N Territorial Rd #101, Plymouth, MI 48170","Plymouth","MI","48170","(734) 891-1818","","greatertowingrecovery.com","https://www.google.com/maps/place/Greater+Towing+%26+Recovery+Tow+Truck+-+Plymouth/data=!4m7!3m6!1s0x8824aad301b34dfb:0xf4fc62bbc9845fb!8m2!3d42.372485!4d-83.557541!16s%2Fg%2F11b6c513b3!19sChIJ-02zAdOqJIgR-0WYvCvGTw8?authuser=0&hl=en&rclk=1"
"Discount Towing","509 Industrial Ave, Mt Pleasant, MI 48858","Mt Pleasant","MI","48858","(989) 773-6999","","","https://www.google.com/maps/place/Discount+Towing/data=!4m7!3m6!1s0x88221cd15aedde17:0x6169aea9597c465!8m2!3d43.6200965!4d-84.7715946!16s%2Fg%2F11f3_t94kl!19sChIJF97tWtEcIogRZcSXleqaFgY?authuser=0&hl=en&rclk=1"
"United Towing","22096 Michigan Ave, Dearborn, MI 48126","Dearborn","MI","48126","(313) 995-1855","","","https://www.google.com/maps/place/United+Towing/data=!4m7!3m6!1s0x883b358685f9bce5:0x74e55d9bb83cb17!8m2!3d42.3063226!4d-83.2458814!16s%2Fg%2F11bwcyf75z!19sChIJ5bz5hYY1O4gRF8uDu9lVTgc?authuser=0&hl=en&rclk=1"
"Budget Towing","876 Railroad St, Ypsilanti, MI 48197","Ypsilanti","MI","48197","(734) 485-2055","","budget-stadiumtowing.com","https://www.google.com/maps/place/Budget+Towing/data=!4m7!3m6!1s0x883ca84b612777b7:0x8cbdb5c16fc0e7a2!8m2!3d42.2540927!4d-83.6187349!16s%2Fg%2F1vpq7kj8!19sChIJt3cnYUuoPIgRoufAb8G1vYw?authuser=0&hl=en&rclk=1"
"Tim's Towing Inc","12937 Riley St, Holland, MI 49424","Holland","MI","49424","(616) 738-2200","","timstowing.net","https://www.google.com/maps/place/Tim%27s+Towing+Inc/data=!4m7!3m6!1s0x88198d7b2a6c82e3:0xca40facdada23157!8m2!3d42.8270999!4d-86.1014119!16s%2Fg%2F11bwfk4tg4!19sChIJ44JsKnuNGYgRVzGirc36QMo?authuser=0&hl=en&rclk=1"
"Twisted Metal Towing LLC","1125 Elm St, Greenville, MI 48838","Greenville","MI","48838","(616) 329-5423","","","https://www.google.com/maps/place/Twisted+Metal+Towing+LLC/data=!4m7!3m6!1s0x8818f149f9e7174b:0x990c093f52b59682!8m2!3d43.168437!4d-85.246864!16s%2Fg%2F11g0mj8g_r!19sChIJSxfn-UnxGIgRgpa1Uj8JDJk?authuser=0&hl=en&rclk=1"
"Northside Service Inc","226 Russell St, Lansing, MI 48906","Lansing","MI","48906","(517) 487-5921","","northsidetowing.net","https://www.google.com/maps/place/Northside+Service+Inc/data=!4m7!3m6!1s0x8822ea5d65985647:0xd3600cbf2b0da14b!8m2!3d42.7550223!4d-84.5552068!16s%2Fg%2F1tcv_0q5!19sChIJR1aYZV3qIogRS6ENK78MYNM?authuser=0&hl=en&rclk=1"
"Lakeside Towing","4355 Plant Dr, Commerce Township, MI 48390","Commerce Township","MI","48390","(248) 363-8356","","lakesidetowingmi.com","https://www.google.com/maps/place/Lakeside+Towing/data=!4m7!3m6!1s0x8824a4c2159b55ab:0x543ad46bec6213dd!8m2!3d42.5727943!4d-83.4421399!16s%2Fg%2F1tg7smxz!19sChIJq1WbFcKkJIgR3RNi7GvUOlQ?authuser=0&hl=en&rclk=1"
"ASAP 24 Hour Towing","825 E Superior St suite b, Alma, MI 48801","Alma","MI","48801","(989) 463-5208","","asapsalesandservice.com","https://www.google.com/maps/place/ASAP+24+Hour+Towing/data=!4m7!3m6!1s0x882215ed14324451:0x7ab190ffe27384f9!8m2!3d43.379047!4d-84.6490229!16s%2Fg%2F11g3_9_kc5!19sChIJUUQyFO0VIogR-YRz4v-QsXo?authuser=0&hl=en&rclk=1"
"Kreager Towing","2993 Carrollton Rd, Saginaw, MI 48604","Saginaw","MI","48604","(989) 272-4545","","kreagertowing.com","https://www.google.com/maps/place/Kreager+Towing/data=!4m7!3m6!1s0x8823c284d5305175:0xd0830e65ee24804!8m2!3d43.4486776!4d-83.9399425!16s%2Fg%2F1thf9572!19sChIJdVEw1YTCI4gRBEjiXuYwCA0?authuser=0&hl=en&rclk=1"
"Henderson Towing & Auto Repair","7765 Eight Mile W, Detroit, MI 48221","Detroit","MI","48221","(313) 837-7777","","hendersontow.com","https://www.google.com/maps/place/Henderson+Towing+%26+Auto+Repair/data=!4m7!3m6!1s0x8824c97fa4bc699f:0x30230aa7485578c8!8m2!3d42.4455857!4d-83.150532!16s%2Fg%2F1tfsthj7!19sChIJn2m8pH_JJIgRyHhVSKcKIzA?authuser=0&hl=en&rclk=1"
"Bob's Towing & Recovery, Inc","906 S Euclid Ave, Bay City, MI 48706","Bay City","MI","48706","(989) 892-1139","","towingbaycity.com","https://www.google.com/maps/place/Bob%27s+Towing+%26+Recovery,+Inc/data=!4m7!3m6!1s0x8823e0621e54af55:0x2006e2da9c28713a!8m2!3d43.5918974!4d-83.9164796!16s%2Fg%2F11xc0pslv!19sChIJVa9UHmLgI4gROnEonNriBiA?authuser=0&hl=en&rclk=1"
"Porter's Towing","18759 Krause St, Riverview, MI 48193","Riverview","MI","48193","(734) 282-8361","","porters-towing.com","https://www.google.com/maps/place/Porter%27s+Towing/data=!4m7!3m6!1s0x883b39f2df1c6dd7:0x1d4bfb5df093a73e!8m2!3d42.1718311!4d-83.1733581!16s%2Fg%2F1tn01xbp!19sChIJ120c3_I5O4gRPqeT8F37Sx0?authuser=0&hl=en&rclk=1"
"Currie's Towing","620 Maple St, Big Rapids, MI 49307","Big Rapids","MI","49307","(231) 796-5351","","curriestowing.com","https://www.google.com/maps/place/Currie%27s+Towing/data=!4m7!3m6!1s0x8818d3c5fff5c461:0xe7578fa5317065a6!8m2!3d43.6995083!4d-85.4740854!16s%2Fg%2F11fhz71g20!19sChIJYcT1_8XTGIgRpmVwMaWPV-c?authuser=0&hl=en&rclk=1"
"Safety First Wrecker Service","5811 S Greenville Rd, Greenville, MI 48838","Greenville","MI","48838","(989) 427-4300","","safetyfirstwrecker.com","https://www.google.com/maps/place/Safety+First+Wrecker+Service/data=!4m7!3m6!1s0x88188d3e34360d09:0xfcfd14e164b0d512!8m2!3d43.2102933!4d-85.2523867!16s%2Fg%2F1yfdr09tq!19sChIJCQ02ND6NGIgREtWwZOEU_fw?authuser=0&hl=en&rclk=1"
"Statewide Towing And Recovery","1532 Jewett Ave, Ann Arbor, MI 48104","Ann Arbor","MI","48104","(734) 649-2582","","statewidetowingrecovery.com","https://www.google.com/maps/place/Statewide+Towing+And+Recovery/data=!4m7!3m6!1s0x883caf80c75840bf:0xa703a47dbb3c9e47!8m2!3d42.2543521!4d-83.726244!16s%2Fg%2F11g2yyv9qf!19sChIJv0BYx4CvPIgRR548u32kA6c?authuser=0&hl=en&rclk=1"
"Reed & Hoppes Towing Inc.","2661 E Grand River Ave, Portland, MI 48875","Portland","MI","48875","(517) 647-4441","","reedandhoppes.com","https://www.google.com/maps/place/Reed+%26+Hoppes+Towing+Inc./data=!4m7!3m6!1s0x8818773c326df689:0x36515971fe67ee6f!8m2!3d42.8862363!4d-85.0216239!16s%2Fg%2F1q67dfktd!19sChIJifZtMjx3GIgRb-5n_nFZUTY?authuser=0&hl=en&rclk=1"
"Abrahamson's Towing","3311 S Brye Rd, Ludington, MI 49431","Ludington","MI","49431","(231) 843-2990","","abrahamsonstowing.com","https://www.google.com/maps/place/Abrahamson%27s+Towing/data=!4m7!3m6!1s0x881c1ad87c981a73:0xba238cb9a85a43d!8m2!3d43.8965606!4d-86.3791275!16s%2Fg%2F11g9fmzsrg!19sChIJcxqYfNgaHIgRPaSFmss4ogs?authuser=0&hl=en&rclk=1"
"Grand Valley Towing","3533 Viaduct St SW Ste A, Grandville, MI 49418","Grandville","MI","49418","(616) 608-7790","","gvtowingservice.com","https://www.google.com/maps/place/Grand+Valley+Towing/data=!4m7!3m6!1s0x8819b06ec06d67f3:0xcb99113bf30f3071!8m2!3d42.9152426!4d-85.7527252!16s%2Fg%2F11hctk375l!19sChIJ82dtwG6wGYgRcTAP8zsRmcs?authuser=0&hl=en&rclk=1"
"Ellis Brothers Towing & Repair","21707 Mac Arthur Blvd, Warren, MI 48089","Warren","MI","48089","(586) 758-7792","","ellisbrotherstowingandrepair.com","https://www.google.com/maps/place/Ellis+Brothers+Towing+%26+Repair/data=!4m7!3m6!1s0x8824d11e20910a1f:0xb1f57d732d057228!8m2!3d42.4560269!4d-83.0185557!16s%2Fg%2F1v3gsjbs!19sChIJHwqRIB7RJIgRKHIFLXN99bE?authuser=0&hl=en&rclk=1"
"LKM Towing","1830 -M40, #20, Holland, MI 49423","Holland","MI","49423","(616) 392-7888","","wmitrucks.com","https://www.google.com/maps/place/LKM+Towing/data=!4m7!3m6!1s0x8819edc798dfbbf3:0xe874c7e9d7b24d8c!8m2!3d42.7368198!4d-86.0653426!16s%2Fg%2F11gfj6pxvy!19sChIJ87vfmMftGYgRjE2y1-nHdOg?authuser=0&hl=en&rclk=1"
"L.I.J.B.S. Towing","6380 Marcus St, Detroit, MI 48211","Detroit","MI","48211","(800) 339-9899","","lijbstowing.com","https://www.google.com/maps/place/L.I.J.B.S.+Towing/data=!4m7!3m6!1s0x8824d3b4da50ede5:0xd0cc900c3fca01fc!8m2!3d42.3958511!4d-83.035469!16s%2Fg%2F1q69z9x83!19sChIJ5e1Q2rTTJIgR_AHKPwyQzNA?authuser=0&hl=en&rclk=1"
"Quality Towing Services","10532 N Mission Rd Ste. A, Clare, MI 48617","Clare","MI","48617","(989) 802-0800","","qualitytowingservices.com","https://www.google.com/maps/place/Quality+Towing+Services/data=!4m7!3m6!1s0x8821f13744fad219:0xc68d0f87092a1ff8!8m2!3d43.7936257!4d-84.7667254!16s%2Fg%2F11fhwxv5ys!19sChIJGdL6RDfxIYgR-B8qCYcPjcY?authuser=0&hl=en&rclk=1"
"Kreager Towing","915 Bayliss St, Midland, MI 48640","Midland","MI","48640","(989) 835-4357","","kreagertowing.com","https://www.google.com/maps/place/Kreager+Towing/data=!4m7!3m6!1s0x8823d5053b2c1eed:0x22f7760c639717a1!8m2!3d43.6093389!4d-84.2228919!16s%2Fg%2F11bw1_q8rm!19sChIJ7R4sOwXVI4gRoReXYwx29yI?authuser=0&hl=en&rclk=1"
"USA Towing And Recovery LLC","16268 Donald Rd, Capac, MI 48014","Capac","MI","48014","(586) 531-0384","","","https://www.google.com/maps/place/USA+Towing+And+Recovery+LLC/data=!4m7!3m6!1s0x882455efe71b6395:0x58dc54cc8a49b0fa!8m2!3d42.9976772!4d-82.9785279!16s%2Fg%2F11p_2w5hbh!19sChIJlWMb5-9VJIgR-rBJisxU3Fg?authuser=0&hl=en&rclk=1"
